"Region","LA_Code","LA_Name","100EmpPTt","100EmpPT15n","100EmpPT30n","100EmpPT45n","100EmpPT60n","100EmpPT15pct","100EmpPT30pct","100EmpPT45pct","100EmpPT60pct","100EmpCyct","100EmpCyc15n","100EmpCyc30n","100EmpCyc45n","100EmpCyc60n","100EmpCyc15pct","100EmpCyc30pct","100EmpCyc45pct","100EmpCyc60pct","100EmpCart","100EmpCar15n","100EmpCar30n","100EmpCar45n","100EmpCar60n","100EmpCar15pct","100EmpCar30pct","100EmpCar45pct","100EmpCar60pct","500EmpPTt","500EmpPT15n","500EmpPT30n","500EmpPT45n","500EmpPT60n","500EmpPT15pct","500EmpPT30pct","500EmpPT45pct","500EmpPT60pct","500EmpCyct","500EmpCyc15n","500EmpCyc30n","500EmpCyc45n","500EmpCyc60n","500EmpCyc15pct","500EmpCyc30pct","500EmpCyc45pct","500EmpCyc60pct","500EmpCart","500EmpCar15n","500EmpCar30n","500EmpCar45n","500EmpCar60n","500EmpCar15pct","500EmpCar30pct","500EmpCar45pct","500EmpCar60pct","5000EmpPTt","5000EmpPT15n","5000EmpPT30n","5000EmpPT45n","5000EmpPT60n","5000EmpPT15pct","5000EmpPT30pct","5000EmpPT45pct","5000EmpPT60pct","5000EmpCyct","5000EmpCyc15n","5000EmpCyc30n","5000EmpCyc45n","5000EmpCyc60n","5000EmpCyc15pct","5000EmpCyc30pct","5000EmpCyc45pct","5000EmpCyc60pct","5000EmpCart","5000EmpCar15n","5000EmpCar30n","5000EmpCar45n","5000EmpCar60n","5000EmpCar15pct","5000EmpCar30pct","5000EmpCar45pct","5000EmpCar60pct","PSPTt","PSPT15n","PSPT30n","PSPT45n","PSPT60n","PSPT15pct","PSPT30pct","PSPT45pct","PSPT60pct","PSCyct","PSCyc15n","PSCyc30n","PSCyc45n","PSCyc60n","PSCyc15pct","PSCyc30pct","PSCyc45pct","PSCyc60pct","PSCart","PSCar15n","PSCar30n","PSCar45n","PSCar60n","PSCar15pct","PSCar30pct","PSCar45pct","PSCar60pct","SSPTt","SSPT15n","SSPT30n","SSPT45n","SSPT60n","SSPT15pct","SSPT30pct","SSPT45pct","SSPT60pct","SSCyct","SSCyc15n","SSCyc30n","SSCyc45n","SSCyc60n","SSCyc15pct","SSCyc30pct","SSCyc45pct","SSCyc60pct","SSCart","SSCar15n","SSCar30n","SSCar45n","SSCar60n","SSCar15pct","SSCar30pct","SSCar45pct","SSCar60pct","FEPTt","FEPT15n","FEPT30n","FEPT45n","FEPT60n","FEPT15pct","FEPT30pct","FEPT45pct","FEPT60pct","FECyct","FECyc15n","FECyc30n","FECyc45n","FECyc60n","FECyc15pct","FECyc30pct","FECyc45pct","FECyc60pct","FECart","FECar15n","FECar30n","FECar45n","FECar60n","FECar15pct","FECar30pct","FECar45pct","FECar60pct","GPPTt","GPPT15n","GPPT30n","GPPT45n","GPPT60n","GPPT15pct","GPPT30pct","GPPT45pct","GPPT60pct","GPCyct","GPCyc15n","GPCyc30n","GPCyc45n","GPCyc60n","GPCyc15pct","GPCyc30pct","GPCyc45pct","GPCyc60pct","GPCart","GPCar15n","GPCar30n","GPCar45n","GPCar60n","GPCar15pct","GPCar30pct","GPCar45pct","GPCar60pct","HospPTt","HospPT15n","HospPT30n","HospPT45n","HospPT60n","HospPT15pct","HospPT30pct","HospPT45pct","HospPT60pct","HospCyct","HospCyc15n","HospCyc30n","HospCyc45n","HospCyc60n","HospCyc15pct","HospCyc30pct","HospCyc45pct","HospCyc60pct","HospCart","HospCar15n","HospCar30n","HospCar45n","HospCar60n","HospCar15pct","HospCar30pct","HospCar45pct","HospCar60pct","FoodPTt","FoodPT15n","FoodPT30n","FoodPT45n","FoodPT60n","FoodPT15pct","FoodPT30pct","FoodPT45pct","FoodPT60pct","FoodCyct","FoodCyc15n","FoodCyc30n","FoodCyc45n","FoodCyc60n","FoodCyc15pct","FoodCyc30pct","FoodCyc45pct","FoodCyc60pct","FoodCart","FoodCar15n","FoodCar30n","FoodCar45n","FoodCar60n","FoodCar15pct","FoodCar30pct","FoodCar45pct","FoodCar60pct","TownPTt","TownPT15n","TownPT30n","TownPT45n","TownPT60n","TownPT15pct","TownPT30pct","TownPT45pct","TownPT60pct","TownCyct","TownCyc15n","TownCyc30n","TownCyc45n","TownCyc60n","TownCyc15pct","TownCyc30pct","TownCyc45pct","TownCyc60pct","TownCart","TownCar15n","TownCar30n","TownCar45n","TownCar60n","TownCar15pct","TownCar30pct","TownCar45pct","TownCar60pct"
"North East","E06000047","County Durham",11,2,9,10,10,81,98,99,100,10,3,9,10,10,92,99,100,100,8,9,10,10,10,99,100,100,100,15,1,6,9,10,55,95,99,100,14,2,6,9,10,70,93,99,100,9,6,10,10,10,95,100,100,100,37,0,0,2,5,5,34,77,94,41,0,0,1,3,8,33,65,84,19,0,6,10,10,33,94,99,100,9,3,9,10,10,94,100,100,100,9,4,10,10,10,98,100,100,100,7,10,10,10,10,100,100,100,100,20,0,3,7,9,30,91,99,99,18,1,3,6,9,46,90,99,100,11,2,10,10,10,90,100,100,100,22,0,2,6,9,24,86,99,99,22,1,3,5,8,44,80,96,99,12,2,9,10,10,82,100,100,100,11,2,8,10,10,84,99,99,100,9,2,8,10,10,94,99,99,100,8,8,10,10,10,99,100,100,100,36,0,0,1,2,4,30,82,97,26,0,1,1,3,21,59,95,99,18,0,2,8,10,25,97,100,100,9,3,9,10,10,91,99,99,100,9,4,9,9,9,93,99,100,100,7,9,9,9,9,99,100,100,100,22,0,1,3,6,23,84,97,99,23,0,1,2,4,36,78,93,98,13,1,7,10,10,74,99,100,100
"North East","E06000005","Darlington",9,3,9,10,10,91,97,99,100,9,7,10,10,10,93,100,100,100,7,10,10,10,10,100,100,100,100,14,1,7,10,10,58,99,100,100,11,3,9,10,10,89,100,100,100,9,8,10,10,10,100,100,100,100,19,0,2,3,7,24,96,98,99,16,1,2,2,3,53,98,100,100,11,1,8,10,10,95,100,100,100,8,2,9,10,10,94,99,99,100,8,6,10,10,10,98,100,100,100,7,10,10,10,10,100,100,100,100,18,0,3,8,10,38,95,99,99,13,1,6,7,9,83,98,100,100,10,4,10,10,10,99,100,100,100,21,0,2,4,8,22,90,98,99,16,1,3,3,6,56,94,100,100,11,2,10,10,10,94,100,100,100,11,2,7,10,10,79,99,99,100,9,4,9,10,10,96,100,100,100,8,9,10,10,10,100,100,100,100,26,0,1,1,3,17,69,96,99,17,0,2,2,2,43,90,100,100,13,1,2,8,10,75,100,100,100,7,5,10,10,10,96,98,99,100,8,8,9,10,10,98,100,100,100,7,9,10,10,10,100,100,100,100,20,0,1,2,7,26,96,98,99,16,1,1,1,2,52,96,100,100,12,1,7,10,10,93,100,100,100
"North East","E06000001","Hartlepool",8,3,10,10,10,94,99,99,99,8,7,10,10,10,99,100,100,100,7,10,10,10,10,100,100,100,100,14,1,7,10,10,60,99,99,99,10,3,9,10,10,95,100,100,100,8,8,10,10,10,100,100,100,100,52,0,0,0,3,0,1,14,89,54,0,0,0,1,0,0,7,85,22,0,5,10,10,0,100,100,100,8,3,10,10,10,93,99,99,100,8,7,10,10,10,99,100,100,100,7,10,10,10,10,100,100,100,100,17,1,3,6,10,52,91,98,99,12,1,4,6,9,85,100,100,100,9,3,10,10,10,100,100,100,100,18,1,3,4,6,40,97,99,99,14,2,4,4,5,64,99,99,100,10,3,8,9,9,99,100,100,100,10,2,9,10,10,86,100,100,100,9,5,10,10,10,98,100,100,100,8,10,10,10,10,100,100,100,100,26,0,1,1,1,14,65,99,99,18,0,1,1,2,38,95,100,100,13,1,2,7,10,62,100,100,100,8,5,10,10,10,94,99,99,100,8,8,9,9,9,99,100,100,100,7,9,9,9,9,100,100,100,100,22,0,1,2,5,13,93,99,99,17,0,1,1,3,38,99,100,100,13,1,5,10,10,84,100,100,100
"North East","E06000002","Middlesbrough",7,3,10,10,10,95,100,100,100,8,8,10,10,10,100,100,100,100,7,10,10,10,10,100,100,100,100,14,1,7,10,10,57,98,100,100,11,3,9,10,10,82,100,100,100,9,9,10,10,10,100,100,100,100,18,1,3,6,8,34,97,100,100,16,1,5,7,9,50,99,100,100,11,4,10,10,10,92,100,100,100,7,3,10,10,10,98,100,100,100,8,8,10,10,10,100,100,100,100,7,10,10,10,10,100,100,100,100,17,0,4,9,10,29,100,100,100,13,1,8,10,10,81,100,100,100,10,6,10,10,10,100,100,100,100,19,0,3,8,10,22,99,100,100,14,1,6,10,10,66,100,100,100,10,4,10,10,10,100,100,100,100,10,2,9,10,10,86,100,100,100,9,5,10,10,10,99,100,100,100,8,9,9,9,9,100,100,100,100,30,0,0,1,2,0,50,100,100,17,0,1,1,2,25,100,100,100,15,0,4,8,10,32,100,100,100,7,5,10,10,10,96,100,100,100,8,8,9,9,9,99,100,100,100,7,9,9,9,9,100,100,100,100,17,0,2,5,9,35,100,100,100,15,1,3,6,9,54,100,100,100,11,2,10,10,10,95,100,100,100
"North East","E06000048","Northumberland",16,1,7,8,9,64,90,95,97,14,3,7,8,9,80,92,96,99,9,7,9,10,10,91,99,100,100,18,1,5,7,9,53,88,94,97,17,2,5,7,8,67,87,91,96,10,5,9,10,10,88,99,100,100,55,0,0,1,3,2,15,49,67,68,0,0,1,2,3,12,35,59,27,0,3,8,9,17,68,88,93,13,2,7,9,9,78,97,98,99,11,3,7,9,9,91,98,100,100,8,7,10,10,10,98,100,100,100,20,1,3,7,9,43,90,96,97,17,1,4,7,8,63,88,95,99,11,3,9,10,10,90,100,100,100,24,0,2,5,7,31,83,92,96,23,1,2,5,7,55,82,88,92,13,2,8,9,10,81,96,100,100,15,1,5,8,9,66,93,93,97,12,2,5,7,8,83,94,94,99,9,5,9,10,10,95,100,100,100,51,0,0,1,2,3,21,55,78,37,0,1,1,2,26,50,71,83,25,0,2,5,8,21,80,88,92,13,3,8,9,9,80,92,96,97,12,4,7,8,9,83,93,97,99,8,7,9,10,10,94,100,100,100,28,0,1,3,6,20,72,88,95,30,0,1,2,4,39,67,77,86,14,1,6,8,9,66,95,100,100
"North East","E06000003","Redcar and Cleveland",9,2,9,10,10,87,100,100,100,9,5,9,10,10,99,100,100,100,7,9,10,10,10,100,100,100,100,16,1,5,9,10,46,99,100,100,13,2,6,9,10,69,100,100,100,9,6,10,10,10,99,100,100,100,34,0,1,3,6,6,46,80,93,33,0,1,2,4,13,52,73,93,16,1,6,10,10,50,99,100,100,9,2,9,10,10,93,100,100,100,9,5,9,10,10,99,100,100,100,8,9,10,10,10,100,100,100,100,16,0,3,8,10,43,98,100,100,14,1,4,8,9,75,99,100,100,10,4,10,10,10,96,100,100,100,20,0,1,4,8,25,90,100,100,16,1,1,4,7,56,99,100,100,11,1,9,10,10,91,100,100,100,11,1,7,10,10,76,100,100,100,9,2,7,10,10,96,100,100,100,8,7,10,10,10,100,100,100,100,31,0,1,1,2,10,42,89,100,54,0,0,0,1,0,18,28,62,15,0,3,6,9,37,100,100,100,7,4,10,10,10,96,100,100,100,8,6,9,9,9,99,100,100,100,7,9,9,9,9,100,100,100,100,23,0,1,3,5,17,80,98,100,25,0,1,2,4,30,64,94,99,14,1,7,10,10,55,100,100,100
"North East","E06000004","Stockton-on-Tees",10,2,9,10,10,89,98,98,99,9,6,10,10,10,96,100,100,100,7,10,10,10,10,100,100,100,100,13,1,7,10,10,62,98,99,100,11,3,9,10,10,88,100,100,100,8,8,10,10,10,100,100,100,100,29,0,1,5,8,10,60,97,98,21,0,3,7,8,28,90,99,100,13,2,10,10,10,76,100,100,100,9,2,9,10,10,95,99,99,100,9,6,10,10,10,98,100,100,100,8,10,10,10,10,100,100,100,100,17,1,3,8,10,45,96,98,99,13,1,6,10,10,82,99,100,100,10,4,10,10,10,99,100,100,100,26,0,1,5,9,15,67,97,99,19,0,3,8,10,40,87,100,100,12,2,10,10,10,89,100,100,100,14,1,8,10,10,64,98,98,99,10,3,9,10,10,90,100,100,100,9,8,10,10,10,100,100,100,100,40,0,0,1,1,5,35,65,89,26,0,1,2,3,14,63,95,100,17,0,4,9,10,32,100,100,100,9,3,9,10,10,93,99,100,100,8,7,9,10,10,98,100,100,100,7,9,10,10,10,100,100,100,100,22,0,1,4,8,19,90,98,99,18,0,2,5,7,40,97,100,100,12,1,10,10,10,86,100,100,100
"North East","E11000004","Tyne and Wear (Met County)",7,4,10,10,10,95,100,100,100,7,8,10,10,10,100,100,100,100,7,10,10,10,10,100,100,100,100,11,2,9,10,10,75,100,100,100,10,4,10,10,10,95,100,100,100,8,9,10,10,10,100,100,100,100,24,0,2,6,9,15,73,99,100,20,1,4,7,9,33,85,99,100,13,2,10,10,10,78,100,100,100,8,3,10,10,10,96,100,100,100,8,7,10,10,10,100,100,100,100,7,10,10,10,10,100,100,100,100,15,1,5,10,10,47,99,100,100,12,2,8,10,10,84,99,100,100,10,6,10,10,10,99,100,100,100,18,0,4,9,10,35,95,100,100,14,1,7,10,10,73,97,100,100,10,5,10,10,10,95,100,100,100,10,2,10,10,10,87,100,100,100,8,5,10,10,10,99,100,100,100,8,10,10,10,10,100,100,100,100,29,0,1,2,4,7,58,94,100,19,0,2,5,8,39,86,98,100,15,1,5,9,10,51,100,100,100,7,5,10,10,10,98,100,100,100,8,8,9,9,9,100,100,100,100,7,9,9,9,9,100,100,100,100,20,0,2,7,9,29,90,100,100,16,1,4,7,9,49,97,100,100,12,2,10,10,10,86,100,100,100
"North East","E08000020","     Gateshead",8,3,10,10,10,95,100,100,100,8,6,10,10,10,99,100,100,100,7,10,10,10,10,100,100,100,100,13,1,7,10,10,68,98,100,100,11,2,9,10,10,86,98,100,100,9,8,10,10,10,98,100,100,100,23,0,3,8,10,17,79,98,100,20,1,5,9,10,36,87,98,100,12,3,10,10,10,84,100,100,100,7,3,10,10,10,99,100,100,100,8,7,10,10,10,100,100,100,100,7,10,10,10,10,100,100,100,100,17,0,4,9,10,41,98,100,100,13,1,7,10,10,81,97,100,100,10,4,10,10,10,97,100,100,100,17,0,4,9,10,37,97,100,100,13,1,7,10,10,85,97,100,100,10,4,10,10,10,96,100,100,100,9,2,9,10,10,92,100,100,100,8,4,10,10,10,99,100,100,100,8,10,10,10,10,100,100,100,100,31,0,1,2,4,8,58,81,99,22,0,2,5,8,39,75,91,100,16,0,5,10,10,49,100,100,100,7,5,10,10,10,99,100,100,100,8,7,9,9,9,100,100,100,100,7,9,9,9,9,100,100,100,100,23,0,2,7,9,23,76,98,100,19,1,3,8,10,40,88,100,100,13,2,10,10,10,76,100,100,100
"North East","E08000021","     Newcastle upon Tyne",7,4,10,10,10,96,100,100,100,8,9,10,10,10,100,100,100,100,7,10,10,10,10,100,100,100,100,10,2,10,10,10,87,100,100,100,9,7,10,10,10,99,100,100,100,8,10,10,10,10,100,100,100,100,20,0,4,9,10,26,92,100,100,17,1,7,10,10,50,93,100,100,12,4,10,10,10,86,100,100,100,8,3,10,10,10,95,100,100,100,8,8,10,10,10,100,100,100,100,7,10,10,10,10,100,100,100,100,16,1,6,10,10,46,100,100,100,12,2,9,10,10,84,100,100,100,10,6,10,10,10,100,100,100,100,15,0,7,10,10,40,100,100,100,12,2,10,10,10,90,100,100,100,10,6,10,10,10,100,100,100,100,8,3,10,10,10,95,100,100,100,8,7,10,10,10,100,100,100,100,7,10,10,10,10,100,100,100,100,28,0,1,2,4,4,60,99,100,19,0,2,5,7,30,87,100,100,15,1,5,10,10,45,100,100,100,7,6,10,10,10,98,100,100,100,8,9,9,9,9,99,100,100,100,7,9,9,9,9,100,100,100,100,16,0,4,9,10,41,98,100,100,13,1,6,10,10,73,100,100,100,10,3,10,10,10,99,100,100,100
