"Region","LA_Code","LA_Name","Empl_pop","100EmpPTt","100EmpPT15n","100EmpPT30n","100EmpPT45n","100EmpPT60n","100EmpPT15pct","100EmpPT30pct","100EmpPT45pct","100EmpPT60pct","100EmpCyct","100EmpCyc15n","100EmpCyc30n","100EmpCyc45n","100EmpCyc60n","100EmpCyc15pct","100EmpCyc30pct","100EmpCyc45pct","100EmpCyc60pct","100EmpCart","100EmpCar15n","100EmpCar30n","100EmpCar45n","100EmpCar60n","100EmpCar15pct","100EmpCar30pct","100EmpCar45pct","100EmpCar60pct","500EmpPTt","500EmpPT15n","500EmpPT30n","500EmpPT45n","500EmpPT60n","500EmpPT15pct","500EmpPT30pct","500EmpPT45pct","500EmpPT60pct","500EmpCyct","500EmpCyc15n","500EmpCyc30n","500EmpCyc45n","500EmpCyc60n","500EmpCyc15pct","500EmpCyc30pct","500EmpCyc45pct","500EmpCyc60pct","500EmpCart","500EmpCar15n","500EmpCar30n","500EmpCar45n","500EmpCar60n","500EmpCar15pct","500EmpCar30pct","500EmpCar45pct","500EmpCar60pct","5000EmpPTt","5000EmpPT15n","5000EmpPT30n","5000EmpPT45n","5000EmpPT60n","5000EmpPT15pct","5000EmpPT30pct","5000EmpPT45pct","5000EmpPT60pct","5000EmpCyct","5000EmpCyc15n","5000EmpCyc30n","5000EmpCyc45n","5000EmpCyc60n","5000EmpCyc15pct","5000EmpCyc30pct","5000EmpCyc45pct","5000EmpCyc60pct","5000EmpCart","5000EmpCar15n","5000EmpCar30n","5000EmpCar45n","5000EmpCar60n","5000EmpCar15pct","5000EmpCar30pct","5000EmpCar45pct","5000EmpCar60pct","PS_pop","PSPTt","PSPT15n","PSPT30n","PSPT45n","PSPT60n","PSPT15pct","PSPT30pct","PSPT45pct","PSPT60pct","PSCyct","PSCyc15n","PSCyc30n","PSCyc45n","PSCyc60n","PSCyc15pct","PSCyc30pct","PSCyc45pct","PSCyc60pct","PSCart","PSCar15n","PSCar30n","PSCar45n","PSCar60n","PSCar15pct","PSCar30pct","PSCar45pct","PSCar60pct","SS_pop","SSPTt","SSPT15n","SSPT30n","SSPT45n","SSPT60n","SSPT15pct","SSPT30pct","SSPT45pct","SSPT60pct","SSCyct","SSCyc15n","SSCyc30n","SSCyc45n","SSCyc60n","SSCyc15pct","SSCyc30pct","SSCyc45pct","SSCyc60pct","SSCart","SSCar15n","SSCar30n","SSCar45n","SSCar60n","SSCar15pct","SSCar30pct","SSCar45pct","SSCar60pct","FE_pop","FEPTt","FEPT15n","FEPT30n","FEPT45n","FEPT60n","FEPT15pct","FEPT30pct","FEPT45pct","FEPT60pct","FECyct","FECyc15n","FECyc30n","FECyc45n","FECyc60n","FECyc15pct","FECyc30pct","FECyc45pct","FECyc60pct","FECart","FECar15n","FECar30n","FECar45n","FECar60n","FECar15pct","FECar30pct","FECar45pct","FECar60pct","GP_pop","GPPTt","GPPT15n","GPPT30n","GPPT45n","GPPT60n","GPPT15pct","GPPT30pct","GPPT45pct","GPPT60pct","GPCyct","GPCyc15n","GPCyc30n","GPCyc45n","GPCyc60n","GPCyc15pct","GPCyc30pct","GPCyc45pct","GPCyc60pct","GPCart","GPCar15n","GPCar30n","GPCar45n","GPCar60n","GPCar15pct","GPCar30pct","GPCar45pct","GPCar60pct","Hosp_pop","HospPTt","HospPT15n","HospPT30n","HospPT45n","HospPT60n","HospPT15pct","HospPT30pct","HospPT45pct","HospPT60pct","HospCyct","HospCyc15n","HospCyc30n","HospCyc45n","HospCyc60n","HospCyc15pct","HospCyc30pct","HospCyc45pct","HospCyc60pct","HospCart","HospCar15n","HospCar30n","HospCar45n","HospCar60n","HospCar15pct","HospCar30pct","HospCar45pct","HospCar60pct","Food_pop","FoodPTt","FoodPT15n","FoodPT30n","FoodPT45n","FoodPT60n","FoodPT15pct","FoodPT30pct","FoodPT45pct","FoodPT60pct","FoodCyct","FoodCyc15n","FoodCyc30n","FoodCyc45n","FoodCyc60n","FoodCyc15pct","FoodCyc30pct","FoodCyc45pct","FoodCyc60pct","FoodCart","FoodCar15n","FoodCar30n","FoodCar45n","FoodCar60n","FoodCar15pct","FoodCar30pct","FoodCar45pct","FoodCar60pct","Town_pop","TownPTt","TownPT15n","TownPT30n","TownPT45n","TownPT60n","TownPT15pct","TownPT30pct","TownPT45pct","TownPT60pct","TownCyct","TownCyc15n","TownCyc30n","TownCyc45n","TownCyc60n","TownCyc15pct","TownCyc30pct","TownCyc45pct","TownCyc60pct","TownCart","TownCar15n","TownCar30n","TownCar45n","TownCar60n","TownCar15pct","TownCar30pct","TownCar45pct","TownCar60pct"
"North East","E06000047","County Durham",385949,10,2,9,10,10,82,99,99,99,10,3,9,10,10,93,99,100,100,8,9,10,10,10,99,100,100,100,15,1,6,9,10,57,96,99,99,14,2,6,9,10,70,96,99,100,9,6,10,10,10,97,100,100,100,37,0,0,2,5,4,34,77,94,41,0,0,1,3,8,33,65,84,18,0,5,10,10,33,95,99,100,34323,9,3,9,10,10,94,99,100,100,9,4,10,10,10,98,100,100,100,7,10,10,10,10,100,100,100,100,25884,20,0,3,7,9,28,90,99,99,20,1,3,6,9,44,84,99,99,11,2,10,10,10,89,100,100,100,25375,23,0,2,6,9,22,85,99,99,22,1,2,5,7,42,78,96,99,13,2,9,10,10,75,100,100,100,227875,10,2,8,10,10,86,99,99,100,10,3,8,10,10,94,99,99,99,7,9,10,10,10,99,99,99,99,227875,37,0,0,1,2,4,28,78,97,39,0,0,1,1,9,30,68,92,18,0,2,7,10,28,97,99,99,227875,9,3,9,10,10,90,99,99,100,9,5,9,10,10,93,99,99,99,7,10,10,10,10,99,99,99,99,227875,22,0,1,3,6,25,87,98,99,23,0,1,2,4,36,77,92,98,12,1,6,10,10,77,99,99,99
"North East","E06000005","Darlington",75841,8,3,9,10,10,93,99,99,100,8,7,10,10,10,96,100,100,100,7,10,10,10,10,100,100,100,100,14,1,7,10,10,57,98,99,99,11,3,9,10,10,89,100,100,100,9,8,10,10,10,100,100,100,100,19,0,2,3,7,26,96,99,99,16,1,2,3,4,53,99,100,100,11,2,5,10,10,98,100,100,100,7747,8,2,9,10,10,93,99,99,100,9,6,10,10,10,95,100,100,100,7,10,10,10,10,100,100,100,100,5920,17,0,3,8,10,45,95,99,99,12,2,7,8,10,89,99,100,100,9,5,10,10,10,99,100,100,100,4845,20,0,2,5,9,27,94,99,99,15,1,4,4,6,56,95,100,100,11,3,9,10,10,98,100,100,100,47028,11,2,9,10,10,80,99,99,100,10,5,9,10,10,96,100,100,100,8,10,10,10,10,100,100,100,100,47028,28,0,1,1,3,18,62,95,98,19,0,1,1,1,38,89,100,100,13,1,2,5,9,83,100,100,100,47028,7,5,10,10,10,95,98,99,100,8,8,10,10,10,97,99,100,100,7,10,10,10,10,99,100,100,100,47028,20,0,1,2,7,27,96,98,99,16,1,1,1,2,51,95,100,100,11,1,4,10,10,96,100,100,100
"North East","E06000001","Hartlepool",66813,8,3,10,10,10,90,99,99,99,8,7,10,10,10,98,100,100,100,7,10,10,10,10,100,100,100,100,14,1,7,10,10,64,99,99,99,10,3,9,10,10,95,100,100,100,8,9,10,10,10,99,100,100,100,51,0,0,0,4,0,2,20,91,54,0,0,0,1,0,0,9,84,24,0,3,10,10,0,100,100,100,6841,8,3,10,10,10,93,100,100,100,8,7,10,10,10,100,100,100,100,7,10,10,10,10,100,100,100,100,5215,17,1,3,6,10,49,91,98,99,12,1,4,6,9,85,100,100,100,9,4,10,10,10,99,100,100,100,4483,18,1,3,5,7,39,97,98,98,14,1,4,4,6,61,99,99,100,10,4,7,10,10,99,100,100,100,42000,11,3,10,10,10,87,99,99,99,9,6,10,10,10,97,99,99,99,7,10,10,10,10,98,99,99,99,42000,26,0,1,1,1,14,66,99,99,19,0,1,1,1,36,88,99,99,12,1,1,4,8,74,99,99,99,42000,7,5,10,10,10,95,99,100,100,8,8,10,10,10,98,99,99,99,7,10,10,10,10,99,99,99,99,42000,22,0,1,2,5,16,94,99,99,18,0,1,1,3,38,98,99,99,11,1,3,10,10,97,99,99,99
"North East","E06000002","Middlesbrough",100620,7,3,10,10,10,96,100,100,100,8,9,10,10,10,100,100,100,100,7,10,10,10,10,100,100,100,100,15,1,6,10,10,49,96,100,100,11,3,9,10,10,80,100,100,100,8,8,10,10,10,100,100,100,100,19,0,3,6,8,31,93,100,100,16,1,4,7,9,50,99,100,100,11,3,9,10,10,92,100,100,100,10813,7,3,10,10,10,99,100,100,100,8,8,10,10,10,100,100,100,100,7,10,10,10,10,100,100,100,100,7876,18,0,4,9,10,29,99,100,100,13,1,8,10,10,81,100,100,100,10,6,10,10,10,100,100,100,100,7458,20,0,2,7,10,15,97,100,100,14,1,6,9,10,65,100,100,100,10,4,10,10,10,100,100,100,100,58072,11,2,9,10,10,80,100,100,100,10,5,10,10,10,98,99,99,99,8,9,10,10,10,99,99,99,99,58072,34,0,0,1,1,0,35,91,100,21,0,1,1,2,9,97,99,99,16,0,2,5,7,37,99,99,99,58072,7,5,10,10,10,98,100,100,100,8,9,10,10,10,99,99,99,99,7,10,10,10,10,99,99,99,99,58072,19,0,2,5,8,30,96,100,100,15,1,3,6,9,54,99,99,99,10,2,10,10,10,99,99,99,99
"North East","E06000048","Northumberland",231564,16,1,7,8,9,67,90,95,96,13,3,7,8,9,82,92,97,99,9,7,9,10,10,92,99,100,100,20,1,5,7,8,47,86,94,96,19,2,4,7,8,63,85,90,95,11,5,8,10,10,85,99,100,100,57,0,0,1,4,1,12,44,65,68,0,0,1,2,3,12,35,59,31,0,3,7,8,17,64,80,90,20093,13,2,7,9,9,78,96,98,99,11,3,7,9,9,91,98,100,100,8,7,10,10,10,98,100,100,100,16655,21,1,3,7,9,42,90,95,96,17,1,3,6,8,63,88,94,99,11,3,9,10,10,89,100,100,100,13655,25,0,2,5,7,32,83,92,95,23,1,2,5,7,56,82,88,93,13,2,7,9,9,82,96,100,100,140882,16,1,6,8,9,67,93,96,97,13,2,5,7,8,78,88,92,94,9,5,9,10,10,89,94,94,94,140882,49,0,0,1,2,4,31,67,78,52,0,0,1,1,10,32,54,67,25,0,2,5,7,28,75,82,86,140882,13,3,8,9,9,82,93,96,97,12,5,8,9,9,80,88,92,93,8,8,10,10,10,88,94,94,94,140882,28,0,1,3,6,20,71,90,95,30,0,1,2,4,37,63,72,81,14,1,6,8,9,63,89,94,94
"North East","E06000003","Redcar and Cleveland",98030,9,2,9,10,10,85,100,100,100,9,5,9,10,10,98,100,100,100,7,9,10,10,10,100,100,100,100,14,1,5,9,10,57,99,100,100,11,2,6,9,10,86,100,100,100,8,6,10,10,10,100,100,100,100,34,0,1,3,6,6,46,80,93,34,0,1,2,4,14,52,72,93,16,1,5,9,10,51,99,100,100,9161,9,2,9,10,10,93,100,100,100,9,5,9,10,10,99,100,100,100,7,9,10,10,10,100,100,100,100,7108,16,0,3,7,10,42,98,100,100,13,1,4,8,9,75,99,100,100,10,4,10,10,10,96,100,100,100,6253,21,0,1,4,8,23,89,100,100,16,1,1,4,7,54,99,100,100,11,1,8,10,10,93,100,100,100,60064,12,1,8,10,10,76,100,100,100,10,3,8,10,10,94,98,98,98,8,8,10,10,10,98,98,98,98,60064,56,0,0,0,1,0,1,23,63,58,0,0,0,1,0,9,27,50,28,0,1,3,6,0,62,98,98,60064,7,4,10,10,10,95,100,100,100,8,7,10,10,10,96,98,98,98,7,10,10,10,10,98,98,98,98,60064,24,0,1,3,5,16,74,98,100,25,0,1,2,4,29,62,92,96,13,1,6,10,10,60,98,98,98
"North East","E06000004","Stockton-on-Tees",141437,10,2,9,10,10,86,98,98,99,9,6,10,10,10,96,100,100,100,7,10,10,10,10,100,100,100,100,13,1,7,10,10,61,98,99,100,10,3,9,10,10,88,100,100,100,8,8,10,10,10,99,100,100,100,29,0,2,5,8,12,60,94,98,20,0,3,7,8,29,90,99,100,13,2,9,10,10,73,100,100,100,14822,9,2,9,10,10,94,99,100,100,8,6,10,10,10,99,100,100,100,7,10,10,10,10,100,100,100,100,10914,17,1,3,8,10,46,96,98,99,13,1,6,10,10,83,99,100,100,9,5,10,10,10,98,100,100,100,9219,32,0,1,4,8,8,48,95,99,22,0,2,7,10,23,85,98,100,13,2,10,10,10,78,100,100,100,81022,14,1,8,10,10,62,98,99,99,11,4,9,10,10,88,98,98,98,8,8,10,10,10,98,98,98,98,81022,40,0,0,1,2,6,35,63,88,29,0,1,1,2,10,56,92,98,16,0,2,5,7,44,98,98,98,81022,9,3,9,10,10,94,99,100,100,8,7,10,10,10,96,98,98,98,7,10,10,10,10,98,98,98,98,81022,22,0,1,4,8,17,89,98,98,18,0,2,5,7,39,96,98,98,12,1,9,10,10,88,98,98,98
"North East","E11000004","Tyne and Wear (Met County)",833767,7,4,10,10,10,94,100,100,100,8,8,10,10,10,99,100,100,100,7,10,10,10,10,100,100,100,100,11,2,9,10,10,79,100,100,100,10,4,10,10,10,94,100,100,100,8,10,10,10,10,100,100,100,100,21,0,3,7,10,21,86,100,100,18,1,4,7,9,37,94,100,100,12,3,10,10,10,86,100,100,100,75014,8,3,10,10,10,97,100,100,100,8,7,10,10,10,100,100,100,100,7,10,10,10,10,100,100,100,100,56531,15,1,6,10,10,51,100,100,100,12,2,8,10,10,84,100,100,100,9,6,10,10,10,100,100,100,100,55992,17,1,5,9,10,40,96,100,100,14,2,7,10,10,72,97,100,100,10,6,10,10,10,95,100,100,100,495871,9,3,10,10,10,92,100,100,100,9,6,10,10,10,98,99,99,99,7,10,10,10,10,99,99,99,99,495871,28,0,1,2,5,7,62,95,100,23,0,1,3,5,20,81,96,99,14,1,5,9,10,60,99,99,99,495871,7,6,10,10,10,98,100,100,100,8,8,10,10,10,99,99,99,99,7,10,10,10,10,99,99,99,99,495871,19,0,3,7,10,32,92,100,100,16,1,4,7,9,49,96,99,99,11,3,10,10,10,91,99,99,99
"North East","E08000020","     Gateshead",147941,8,4,10,10,10,93,100,100,100,8,7,10,10,10,99,100,100,100,7,10,10,10,10,100,100,100,100,13,1,8,10,10,68,97,100,100,12,3,9,10,10,84,98,100,100,9,8,10,10,10,99,100,100,100,23,0,3,8,10,18,79,98,100,19,1,5,9,10,37,87,98,100,11,3,10,10,10,84,100,100,100,13528,7,4,10,10,10,99,100,100,100,8,7,10,10,10,100,100,100,100,7,10,10,10,10,100,100,100,100,10068,16,0,4,9,10,44,98,100,100,13,1,7,10,10,81,97,100,100,10,4,10,10,10,98,100,100,100,10175,17,0,4,9,10,36,98,100,100,14,1,7,10,10,80,97,100,100,10,5,10,10,10,98,100,100,100,89894,9,3,10,10,10,93,100,100,100,9,5,10,10,10,99,100,100,100,7,10,10,10,10,100,100,100,100,89894,30,0,1,2,5,7,59,82,99,26,0,1,2,4,22,65,88,99,15,1,5,10,10,55,100,100,100,89894,7,6,10,10,10,99,100,100,100,8,8,10,10,10,99,100,100,100,7,10,10,10,10,100,100,100,100,89894,23,0,2,7,9,21,77,98,100,19,1,3,8,10,40,87,99,100,12,2,10,10,10,80,100,100,100
"North East","E08000021","     Newcastle upon Tyne",222284,7,4,10,10,10,95,100,100,100,8,9,10,10,10,100,100,100,100,7,10,10,10,10,100,100,100,100,9,3,10,10,10,90,100,100,100,9,7,10,10,10,98,100,100,100,7,10,10,10,10,100,100,100,100,19,0,5,9,10,31,93,100,100,17,1,7,10,10,51,93,100,100,11,5,10,10,10,88,100,100,100,19251,8,4,10,10,10,96,100,100,100,8,8,10,10,10,100,100,100,100,7,10,10,10,10,100,100,100,100,14161,15,1,6,10,10,51,100,100,100,12,2,9,10,10,84,100,100,100,9,7,10,10,10,100,100,100,100,17145,14,1,8,10,10,53,100,100,100,12,3,10,10,10,89,100,100,100,9,9,10,10,10,100,100,100,100,122017,9,3,10,10,10,96,100,100,100,8,7,10,10,10,99,99,99,99,7,10,10,10,10,99,99,99,99,122017,27,0,1,2,5,5,63,99,100,21,0,2,3,5,19,84,99,99,14,1,6,10,10,60,99,99,99,122017,7,6,10,10,10,98,100,100,100,8,9,10,10,10,99,99,99,99,7,10,10,10,10,99,99,99,99,122017,15,1,4,9,10,46,99,100,100,13,1,6,10,10,72,99,99,99,10,5,10,10,10,99,99,99,99
