"Region","LA_Code","LA_Name","Empl_pop","X100EmpPTt","X100EmpPT15pct","X100EmpPT30pct","X100EmpPT45pct","X100EmpPT60pct","X100EmpPT15n","X100EmpPT30n","X100EmpPT45n","X100EmpPT60n","X100EmpCyct","X100EmpCyc15pct","X100EmpCyc30pct","X100EmpCyc45pct","X100EmpCyc60pct","X100EmpCyc15n","X100EmpCyc30n","X100EmpCyc45n","X100EmpCyc60n","X100EmpCart","X100EmpCar15pct","X100EmpCar30pct","X100EmpCar45pct","X100EmpCar60pct","X100EmpCar15n","X100EmpCar30n","X100EmpCar45n","X100EmpCar60n","X500EmpPTt","X500EmpPT15pct","X500EmpPT30pct","X500EmpPT45pct","X500EmpPT60pct","X500EmpPT15n","X500EmpPT30n","X500EmpPT45n","X500EmpPT60n","X500EmpCyct","X500EmpCyc15pct","X500EmpCyc30pct","X500EmpCyc45pct","X500EmpCyc60pct","X500EmpCyc15n","X500EmpCyc30n","X500EmpCyc45n","X500EmpCyc60n","X500EmpCart","X500EmpCar15pct","X500EmpCar30pct","X500EmpCar45pct","X500EmpCar60pct","X500EmpCar15n","X500EmpCar30n","X500EmpCar45n","X500EmpCar60n","X5000EmpPTt","X5000EmpPT15pct","X5000EmpPT30pct","X5000EmpPT45pct","X5000EmpPT60pct","X5000EmpPT15n","X5000EmpPT30n","X5000EmpPT45n","X5000EmpPT60n","X5000EmpCyct","X5000EmpCyc15pct","X5000EmpCyc30pct","X5000EmpCyc45pct","X5000EmpCyc60pct","X5000EmpCyc15n","X5000EmpCyc30n","X5000EmpCyc45n","X5000EmpCyc60n","X5000EmpCart","X5000EmpCar15pct","X5000EmpCar30pct","X5000EmpCar45pct","X5000EmpCar60pct","X5000EmpCar15n","X5000EmpCar30n","X5000EmpCar45n","X5000EmpCar60n","PSPTt","PSPT15n","PSPT30n","PSPT45n","PSPT60n","PSPT15pct","PSPT30pct","PSPT45pct","PSPT60pct","PSCyct","PSCyc15n","PSCyc30n","PSCyc45n","PSCyc60n","PSCyc15pct","PSCyc30pct","PSCyc45pct","PSCyc60pct","PSCart","PSCar15n","PSCar30n","PSCar45n","PSCar60n","PSCar15pct","PSCar30pct","PSCar45pct","PSCar60pct","SSPTt","SSPT15n","SSPT30n","SSPT45n","SSPT60n","SSPT15pct","SSPT30pct","SSPT45pct","SSPT60pct","SSCyct","SSCyc15n","SSCyc30n","SSCyc45n","SSCyc60n","SSCyc15pct","SSCyc30pct","SSCyc45pct","SSCyc60pct","SSCart","SSCar15n","SSCar30n","SSCar45n","SSCar60n","SSCar15pct","SSCar30pct","SSCar45pct","SSCar60pct","FEPTt","FEPT15n","FEPT30n","FEPT45n","FEPT60n","FEPT15pct","FEPT30pct","FEPT45pct","FEPT60pct","FECyct","FECyc15n","FECyc30n","FECyc45n","FECyc60n","FECyc15pct","FECyc30pct","FECyc45pct","FECyc60pct","FECart","FECar15n","FECar30n","FECar45n","FECar60n","FECar15pct","FECar30pct","FECar45pct","FECar60pct","GPPTt","GPPT15n","GPPT30n","GPPT45n","GPPT60n","GPPT15pct","GPPT30pct","GPPT45pct","GPPT60pct","GPCyct","GPCyc15n","GPCyc30n","GPCyc45n","GPCyc60n","GPCyc15pct","GPCyc30pct","GPCyc45pct","GPCyc60pct","GPCart","GPCar15n","GPCar30n","GPCar45n","GPCar60n","GPCar15pct","GPCar30pct","GPCar45pct","GPCar60pct","HospPTt","HospPT15n","HospPT30n","HospPT45n","HospPT60n","HospPT15pct","HospPT30pct","HospPT45pct","HospPT60pct","HospCyct","HospCyc15n","HospCyc30n","HospCyc45n","HospCyc60n","HospCyc15pct","HospCyc30pct","HospCyc45pct","HospCyc60pct","HospCart","HospCar15n","HospCar30n","HospCar45n","HospCar60n","HospCar15pct","HospCar30pct","HospCar45pct","HospCar60pct","FoodPTt","FoodPT15n","FoodPT30n","FoodPT45n","FoodPT60n","FoodPT15pct","FoodPT30pct","FoodPT45pct","FoodPT60pct","FoodCyct","FoodCyc15n","FoodCyc30n","FoodCyc45n","FoodCyc60n","FoodCyc15pct","FoodCyc30pct","FoodCyc45pct","FoodCyc60pct","FoodCart","FoodCar15n","FoodCar30n","FoodCar45n","FoodCar60n","FoodCar15pct","FoodCar30pct","FoodCar45pct","FoodCar60pct","TownPTt","TownPT15n","TownPT30n","TownPT45n","TownPT60n","TownPT15pct","TownPT30pct","TownPT45pct","TownPT60pct","TownCyct","TownCyc15n","TownCyc30n","TownCyc45n","TownCyc60n","TownCyc15pct","TownCyc30pct","TownCyc45pct","TownCyc60pct","TownCart","TownCar15n","TownCar30n","TownCar45n","TownCar60n","TownCar15pct","TownCar30pct","TownCar45pct","TownCar60pct"
"North East","E06000047","County Durham",385949,10,82,99,99,99,2,9,10,10,10,92,99,100,100,3,9,10,10,8,99,100,100,100,9,10,10,10,15,1,6,9,10,57,96,99,99,14,70,93,99,100,2,6,9,10,9,95,100,100,100,6,10,10,10,37,0,0,2,5,4,34,77,94,41,8,33,65,84,0,0,1,3,19,33,94,99,100,0,6,10,10,9,3,9,10,10,94,99,100,100,9,4,10,10,10,98,100,100,100,7,10,10,10,10,100,100,100,100,20,0,3,7,9,28,90,99,99,20,1,3,6,9,44,84,99,99,11,2,10,10,10,89,100,100,100,23,0,2,6,9,22,85,99,99,22,1,2,5,7,42,78,96,99,13,2,9,10,10,75,100,100,100,10,2,8,10,10,86,99,99,100,10,3,8,10,10,94,99,99,99,7,9,10,10,10,99,99,99,99,37,0,0,1,2,4,28,78,97,39,0,0,1,1,9,30,68,92,18,0,2,7,10,28,97,99,99,9,3,9,10,10,90,99,99,100,9,5,9,10,10,93,99,99,99,7,10,10,10,10,99,99,99,99,22,0,1,3,6,25,87,98,99,23,0,1,2,4,36,77,92,98,12,1,6,10,10,77,99,99,99
"North East","E06000005","Darlington",75841,8,93,99,99,100,3,9,10,10,9,93,100,100,100,7,10,10,10,7,100,100,100,100,10,10,10,10,14,1,7,10,10,57,98,99,99,11,89,100,100,100,3,9,10,10,9,100,100,100,100,8,10,10,10,19,0,2,3,7,26,96,99,99,16,53,98,100,100,1,2,2,3,11,95,100,100,100,1,8,10,10,8,2,9,10,10,93,99,99,100,9,6,10,10,10,95,100,100,100,7,10,10,10,10,100,100,100,100,17,0,3,8,10,45,95,99,99,12,2,7,8,10,89,99,100,100,9,5,10,10,10,99,100,100,100,20,0,2,5,9,27,94,99,99,15,1,4,4,6,56,95,100,100,11,3,9,10,10,98,100,100,100,11,2,9,10,10,80,99,99,100,10,5,9,10,10,96,100,100,100,8,10,10,10,10,100,100,100,100,28,0,1,1,3,18,62,95,98,19,0,1,1,1,38,89,100,100,13,1,2,5,9,83,100,100,100,7,5,10,10,10,95,98,99,100,8,8,10,10,10,97,99,100,100,7,10,10,10,10,99,100,100,100,20,0,1,2,7,27,96,98,99,16,1,1,1,2,51,95,100,100,11,1,4,10,10,96,100,100,100
"North East","E06000001","Hartlepool",66813,8,90,99,99,99,3,10,10,10,8,99,100,100,100,7,10,10,10,7,100,100,100,100,10,10,10,10,14,1,7,10,10,64,99,99,99,10,95,100,100,100,3,9,10,10,8,100,100,100,100,8,10,10,10,51,0,0,0,4,0,2,20,91,54,0,0,7,85,0,0,0,1,22,0,100,100,100,0,5,10,10,8,3,10,10,10,93,100,100,100,8,7,10,10,10,100,100,100,100,7,10,10,10,10,100,100,100,100,17,1,3,6,10,49,91,98,99,12,1,4,6,9,85,100,100,100,9,4,10,10,10,99,100,100,100,18,1,3,5,7,39,97,98,98,14,1,4,4,6,61,99,99,100,10,4,7,10,10,99,100,100,100,11,3,10,10,10,87,99,99,99,9,6,10,10,10,97,99,99,99,7,10,10,10,10,98,99,99,99,26,0,1,1,1,14,66,99,99,19,0,1,1,1,36,88,99,99,12,1,1,4,8,74,99,99,99,7,5,10,10,10,95,99,100,100,8,8,10,10,10,98,99,99,99,7,10,10,10,10,99,99,99,99,22,0,1,2,5,16,94,99,99,18,0,1,1,3,38,98,99,99,11,1,3,10,10,97,99,99,99
"North East","E06000002","Middlesbrough",100620,7,96,100,100,100,3,10,10,10,8,100,100,100,100,8,10,10,10,7,100,100,100,100,10,10,10,10,15,1,6,10,10,49,96,100,100,11,82,100,100,100,3,9,10,10,9,100,100,100,100,9,10,10,10,19,0,3,6,8,31,93,100,100,16,50,99,100,100,1,5,7,9,11,92,100,100,100,4,10,10,10,7,3,10,10,10,99,100,100,100,8,8,10,10,10,100,100,100,100,7,10,10,10,10,100,100,100,100,18,0,4,9,10,29,99,100,100,13,1,8,10,10,81,100,100,100,10,6,10,10,10,100,100,100,100,20,0,2,7,10,15,97,100,100,14,1,6,9,10,65,100,100,100,10,4,10,10,10,100,100,100,100,11,2,9,10,10,80,100,100,100,10,5,10,10,10,98,99,99,99,8,9,10,10,10,99,99,99,99,34,0,0,1,1,0,35,91,100,21,0,1,1,2,9,97,99,99,16,0,2,5,7,37,99,99,99,7,5,10,10,10,98,100,100,100,8,9,10,10,10,99,99,99,99,7,10,10,10,10,99,99,99,99,19,0,2,5,8,30,96,100,100,15,1,3,6,9,54,99,99,99,10,2,10,10,10,99,99,99,99
"North East","E06000048","Northumberland",231564,16,67,90,95,96,1,7,8,9,14,80,92,96,99,3,7,8,9,9,91,99,100,100,7,9,10,10,20,1,5,7,8,47,86,94,96,17,67,87,91,96,2,5,7,8,10,88,99,100,100,5,9,10,10,57,0,0,1,4,1,12,44,65,68,3,12,35,59,0,0,1,2,27,17,68,88,93,0,3,8,9,13,2,7,9,9,78,96,98,99,11,3,7,9,9,91,98,100,100,8,7,10,10,10,98,100,100,100,21,1,3,7,9,42,90,95,96,17,1,3,6,8,63,88,94,99,11,3,9,10,10,89,100,100,100,25,0,2,5,7,32,83,92,95,23,1,2,5,7,56,82,88,93,13,2,7,9,9,82,96,100,100,16,1,6,8,9,67,93,96,97,13,2,5,7,8,78,88,92,94,9,5,9,10,10,89,94,94,94,49,0,0,1,2,4,31,67,78,52,0,0,1,1,10,32,54,67,25,0,2,5,7,28,75,82,86,13,3,8,9,9,82,93,96,97,12,5,8,9,9,80,88,92,93,8,8,10,10,10,88,94,94,94,28,0,1,3,6,20,71,90,95,30,0,1,2,4,37,63,72,81,14,1,6,8,9,63,89,94,94
"North East","E06000003","Redcar and Cleveland",98030,9,85,100,100,100,2,9,10,10,9,99,100,100,100,5,9,10,10,7,100,100,100,100,9,10,10,10,14,1,5,9,10,57,99,100,100,13,69,100,100,100,2,6,9,10,9,99,100,100,100,6,10,10,10,34,0,1,3,6,6,46,80,93,33,13,52,73,93,0,1,2,4,16,50,99,100,100,1,6,10,10,9,2,9,10,10,93,100,100,100,9,5,9,10,10,99,100,100,100,7,9,10,10,10,100,100,100,100,16,0,3,7,10,42,98,100,100,13,1,4,8,9,75,99,100,100,10,4,10,10,10,96,100,100,100,21,0,1,4,8,23,89,100,100,16,1,1,4,7,54,99,100,100,11,1,8,10,10,93,100,100,100,12,1,8,10,10,76,100,100,100,10,3,8,10,10,94,98,98,98,8,8,10,10,10,98,98,98,98,56,0,0,0,1,0,1,23,63,58,0,0,0,1,0,9,27,50,28,0,1,3,6,0,62,98,98,7,4,10,10,10,95,100,100,100,8,7,10,10,10,96,98,98,98,7,10,10,10,10,98,98,98,98,24,0,1,3,5,16,74,98,100,25,0,1,2,4,29,62,92,96,13,1,6,10,10,60,98,98,98
"North East","E06000004","Stockton-on-Tees",141437,10,86,98,98,99,2,9,10,10,9,96,100,100,100,6,10,10,10,7,100,100,100,100,10,10,10,10,13,1,7,10,10,61,98,99,100,11,88,100,100,100,3,9,10,10,8,100,100,100,100,8,10,10,10,29,0,2,5,8,12,60,94,98,21,28,90,99,100,0,3,7,8,13,76,100,100,100,2,10,10,10,9,2,9,10,10,94,99,100,100,8,6,10,10,10,99,100,100,100,7,10,10,10,10,100,100,100,100,17,1,3,8,10,46,96,98,99,13,1,6,10,10,83,99,100,100,9,5,10,10,10,98,100,100,100,32,0,1,4,8,8,48,95,99,22,0,2,7,10,23,85,98,100,13,2,10,10,10,78,100,100,100,14,1,8,10,10,62,98,99,99,11,4,9,10,10,88,98,98,98,8,8,10,10,10,98,98,98,98,40,0,0,1,2,6,35,63,88,29,0,1,1,2,10,56,92,98,16,0,2,5,7,44,98,98,98,9,3,9,10,10,94,99,100,100,8,7,10,10,10,96,98,98,98,7,10,10,10,10,98,98,98,98,22,0,1,4,8,17,89,98,98,18,0,2,5,7,39,96,98,98,12,1,9,10,10,88,98,98,98
"North East","E11000004","Tyne and Wear (Met County)",833767,7,94,100,100,100,4,10,10,10,7,100,100,100,100,8,10,10,10,7,100,100,100,100,10,10,10,10,11,2,9,10,10,79,100,100,100,10,95,100,100,100,4,10,10,10,8,100,100,100,100,9,10,10,10,21,0,3,7,10,21,86,100,100,20,33,85,99,100,1,4,7,9,13,78,100,100,100,2,10,10,10,8,3,10,10,10,97,100,100,100,8,7,10,10,10,100,100,100,100,7,10,10,10,10,100,100,100,100,15,1,6,10,10,51,100,100,100,12,2,8,10,10,84,100,100,100,9,6,10,10,10,100,100,100,100,17,1,5,9,10,40,96,100,100,14,2,7,10,10,72,97,100,100,10,6,10,10,10,95,100,100,100,9,3,10,10,10,92,100,100,100,9,6,10,10,10,98,99,99,99,7,10,10,10,10,99,99,99,99,28,0,1,2,5,7,62,95,100,23,0,1,3,5,20,81,96,99,14,1,5,9,10,60,99,99,99,7,6,10,10,10,98,100,100,100,8,8,10,10,10,99,99,99,99,7,10,10,10,10,99,99,99,99,19,0,3,7,10,32,92,100,100,16,1,4,7,9,49,96,99,99,11,3,10,10,10,91,99,99,99
"North East","E08000020","     Gateshead",147941,8,93,100,100,100,4,10,10,10,8,99,100,100,100,6,10,10,10,7,100,100,100,100,10,10,10,10,13,1,8,10,10,68,97,100,100,11,86,98,100,100,2,9,10,10,9,98,100,100,100,8,10,10,10,23,0,3,8,10,18,79,98,100,20,36,87,98,100,1,5,9,10,12,84,100,100,100,3,10,10,10,7,4,10,10,10,99,100,100,100,8,7,10,10,10,100,100,100,100,7,10,10,10,10,100,100,100,100,16,0,4,9,10,44,98,100,100,13,1,7,10,10,81,97,100,100,10,4,10,10,10,98,100,100,100,17,0,4,9,10,36,98,100,100,14,1,7,10,10,80,97,100,100,10,5,10,10,10,98,100,100,100,9,3,10,10,10,93,100,100,100,9,5,10,10,10,99,100,100,100,7,10,10,10,10,100,100,100,100,30,0,1,2,5,7,59,82,99,26,0,1,2,4,22,65,88,99,15,1,5,10,10,55,100,100,100,7,6,10,10,10,99,100,100,100,8,8,10,10,10,99,100,100,100,7,10,10,10,10,100,100,100,100,23,0,2,7,9,21,77,98,100,19,1,3,8,10,40,87,99,100,12,2,10,10,10,80,100,100,100
"North East","E08000021","     Newcastle upon Tyne",222284,7,95,100,100,100,4,10,10,10,8,100,100,100,100,9,10,10,10,7,100,100,100,100,10,10,10,10,9,3,10,10,10,90,100,100,100,9,99,100,100,100,7,10,10,10,8,100,100,100,100,10,10,10,10,19,0,5,9,10,31,93,100,100,17,50,93,100,100,1,7,10,10,12,86,100,100,100,4,10,10,10,8,4,10,10,10,96,100,100,100,8,8,10,10,10,100,100,100,100,7,10,10,10,10,100,100,100,100,15,1,6,10,10,51,100,100,100,12,2,9,10,10,84,100,100,100,9,7,10,10,10,100,100,100,100,14,1,8,10,10,53,100,100,100,12,3,10,10,10,89,100,100,100,9,9,10,10,10,100,100,100,100,9,3,10,10,10,96,100,100,100,8,7,10,10,10,99,99,99,99,7,10,10,10,10,99,99,99,99,27,0,1,2,5,5,63,99,100,21,0,2,3,5,19,84,99,99,14,1,6,10,10,60,99,99,99,7,6,10,10,10,98,100,100,100,8,9,10,10,10,99,99,99,99,7,10,10,10,10,99,99,99,99,15,1,4,9,10,46,99,100,100,13,1,6,10,10,72,99,99,99,10,5,10,10,10,99,99,99,99
